#  Parameters: 
#  beta0=-6.000000e+00 
#  sp=1.000000e+36 
#  sM=1.000000e+04 
#  psur=1.000000e+30 
#  rhocen=1.000000e+02 
#  mtb=1.660000e-27 
#  nt0=1.000000e+44 
#  Gamma=2.340000e+00 
#  kns=1.950000e-02 
#  Columns: 
#  mA/solar_mass, alpha0, alphaA_true, alphaA_check, betaA, kA.
1.418385246646201914e+00, -1.039094075591621398e-05, -3.402103529539406146e-02, 1.458206847934706275e+03, -1.880584965416743692e+00, 3.669829917150249230e+02
1.424177273697020629e+00, -1.039132021833073440e-05, -3.465528693130632415e-02, 1.452276423033474202e+03, -1.880584965416743248e+00, 3.660029186051859824e+02
1.429969300747839789e+00, -1.039169968074525481e-05, -3.528953856721857990e-02, 1.446394039997045184e+03, -1.880584965416743026e+00, 3.650280665877259025e+02
1.435761327798658504e+00, -1.039207914315977692e-05, -3.592379020313081484e-02, 1.440559117396721831e+03, -1.880584965416743026e+00, 3.640583935605320107e+02
1.441553224797547994e+00, -1.039248852797492774e-05, -3.652849431379023154e-02, 1.430312213532938813e+03, -1.874703614774491767e+00, 3.620155729591486988e+02
1.447343739588625500e+00, -1.039321593172304358e-05, -3.681916371283439765e-02, 1.372947424917712397e+03, -1.806314550303665944e+00, 3.485536824998522434e+02
1.453134254379703005e+00, -1.039394333547115773e-05, -3.710983311187857764e-02, 1.316039697780944834e+03, -1.737925485832841233e+00, 3.351627613774282963e+02
1.458924769170780511e+00, -1.039467073921927187e-05, -3.740050251092273681e-02, 1.259583591258596698e+03, -1.669536421362014522e+00, 3.218422496750470714e+02
1.464715283961857795e+00, -1.039539814296738771e-05, -3.769117190996690292e-02, 1.203573750487599682e+03, -1.601147356891189810e+00, 3.085915937933577879e+02
1.470505798752935300e+00, -1.039612554671550355e-05, -3.798184130901107597e-02, 1.148004904944568807e+03, -1.532758292420363988e+00, 2.954102454092204084e+02
1.476296313544012806e+00, -1.039685295046361940e-05, -3.827251070805523514e-02, 1.092871866766076437e+03, -1.464369227949538166e+00, 2.822976623537041405e+02
1.482086828335090312e+00, -1.039758035421173524e-05, -3.856318010709941513e-02, 1.038169529139577662e+03, -1.395980163478712566e+00, 2.692533078973585816e+02
1.487877343126167595e+00, -1.039830775795984938e-05, -3.885384950614358124e-02, 9.838928647468821964e+02, -1.327591099007887188e+00, 2.562766507748740423e+02
1.493667857917245101e+00, -1.039903516170796692e-05, -3.914451890518774735e-02, 9.300369241936800790e+02, -1.259202034537062920e+00, 2.433671653236905001e+02
1.499458372708322607e+00, -1.039976256545608106e-05, -3.943518830423189958e-02, 8.765968345213249222e+02, -1.190812970066237542e+00, 2.305243317006983261e+02
1.505248887499400112e+00, -1.040048996920419521e-05, -3.972585770327607957e-02, 8.235677977437334221e+02, -1.122423905595412608e+00, 2.177476344363397516e+02
1.511039402290477618e+00, -1.040121737295231105e-05, -4.001652710232024568e-02, 7.709450893979135344e+02, -1.054034841124587230e+00, 2.050365645870160165e+02
1.516829917081555124e+00, -1.040194477670042689e-05, -4.030719650136441179e-02, 7.187240571407663765e+02, -9.856457766537617404e-01, 1.923906175826803064e+02
1.522620431872632629e+00, -1.040267218044854104e-05, -4.059786590040857790e-02, 6.669001193893262780e+02, -9.172567121829362513e-01, 1.798092939538970541e+02
1.528410946663710135e+00, -1.040339958419665857e-05, -4.088853529945275095e-02, 6.154687639771640306e+02, -8.488676477121093189e-01, 1.672921000424606461e+02
1.534201461454787641e+00, -1.040412698794477272e-05, -4.117920469849691706e-02, 5.644255468327344261e+02, -7.804785832412838298e-01, 1.548385463963379038e+02
1.539991976245865146e+00, -1.040485439169288856e-05, -4.146987409754108317e-02, 5.137660907159856833e+02, -7.120895187704583407e-01, 1.424481491867958027e+02
1.545782491036942652e+00, -1.040558179544100440e-05, -4.176054349658524234e-02, 4.634860839560341788e+02, -6.437004542996349610e-01, 1.301204289915338279e+02
1.551573005828019713e+00, -1.040630919918911855e-05, -4.205121289562940845e-02, 4.135812792352648444e+02, -5.753113898288094719e-01, 1.178549116439119757e+02
1.557363520619097663e+00, -1.040703660293723439e-05, -4.234188229467357456e-02, 3.640474923827386533e+02, -5.069223253579839827e-01, 1.056511273837227947e+02
1.563154035410174947e+00, -1.040776400668535023e-05, -4.263255169371775455e-02, 3.148806012179091454e+02, -4.385332608871584381e-01, 9.350861136755003145e+01
